type,title,cast,release_year,listed_in,Plataforma,seasson_quantity,movie_duration
TV Show,Wakaalat From Home,"Sumeet Vyas, Nidhi Singh, Kubbra Sait, Gopal Datt, Anuvab Pal, Rit Bahadur Bayalkoti, Dipesh Bhujal, Akarsh Khurana, Shifu - Cat",2020,Comedy,amazon,0,0
Movie,Waiting on Mary,"Brian Shea, Emilee Dupre', Ned Averill-Snell, Bob Devin Jones, Bonnie Agan, Jim Wicker, Matt Lunsford",2016,"Comedy, Drama",amazon,0,77
Movie,Waiting for You,"Colin Morgan, Fanny Ardant, Abdelkrim Bahloul, Clare Holman",2018,"Drama, Romance, Suspense",amazon,0,92
Movie,Waiting for Lightning,"Danny Way, Tony Hawk, Rob Dyrdek, Travis Pastrana, Laird John Hamilton, Paul Rodriguez Jr.",2012,"Documentary, Sports",amazon,0,96
Movie,Waiting for Anya,"Noah Schnapp, Thomas Kretschmann, Frederick Schmidt, Anjelica Huston, Jean Reno",2020,"Action, Drama",amazon,0,109
Movie,Wait For Your Laugh,"Rose Marie, Carl Reiner, Dick Van Dyke, Dan Harmon",2018,"Arts, Entertainment, and Culture, Documentary",amazon,0,85
TV Show,Wahlburgers,"Mark Wahlberg, Donnie Wahlberg, Paul Wahlberg",2017,"Documentary, Drama, Unscripted",amazon,7,0
TV Show,Waco: Madman or Messiah,Sin dato,2018,"Documentary, Special Interest",amazon,0,0
TV Show,Voyage of the Continents,Sin dato,2013,"Documentary, Special Interest",amazon,0,0
Movie,Voyage Into Space,"Akio Ito, Kaneko Mitsundbu",1970,Science Fiction,amazon,0,98
Movie,Vows of Deception,"Cheryl Ladd, Nick Manusco, Nancy Cartwright, Vyto Ruginis, Mike Farrell, Cady Huffman",1996,"Drama, Suspense",amazon,0,94
Movie,Volcano: Fire on the Mountain,"Dan Cortese, Cynthia Gibb, Brian Kerwin",1997,"Action, Science Fiction, Suspense",amazon,0,88
Movie,Voice From the Stone,"Emilia Clarke, Marton Csokas, Caterina Murino, Remo Girone",2017,"Drama, Suspense",amazon,0,90
TV Show,Vocabulary and Numbers with Harry the Bunny and Friends,Sin dato,2018,TV Shows,amazon,2,0
Movie,VocabuLarry,Sin dato,2012,Kids,amazon,0,31
Movie,Viswasam,"Ajith Kumar, Nayanthara",2019,"Action, Drama, International",amazon,0,151
Movie,Visit to a Chief's Son,"Richard Mulligan, Johnny Sekka",1974,Drama,amazon,0,92
Movie,Virus,"Revathy, Kunchako Boban, Parvathy Thiruvoth",2019,"Drama, Science Fiction, Suspense",amazon,0,149
Movie,Virginia,"Jennifer Connelly, Emma Roberts, Ed Harris, Carrie Preston",2012,Drama,amazon,0,111
Movie,Violets Are Blue,"Sissy Spacek, Kevin Kline, Bonnie Bedelia",1986,"Drama, Romance",amazon,0,86
TV Show,VINLAND SAGA,"Shizuka Ishigami, Yuto Uemura, Kenichiro Matsuda, Naoya Uchida, Kensho Ono",2019,Anime,amazon,0,0
Movie,Vinci Da,"Rudranil Ghosh, Ritwick Chakraborty, Sohini Sarkar, Anirban Bhattacharya, Riddhi Sen",2019,"International, Suspense",amazon,0,113
TV Show,Vikings,"Alex Høgh, Alexander Ludwig, Jasper Pääkkönen",2020,"Action, Drama",amazon,9,0
Movie,Vietnam: Secret Negotiations that Ended the War,Sin dato,2015,"Documentary, International, Special Interest",amazon,0,53
